"record_id","year_of_birth","profession","q1_2022","q2_2022","q3_2022","q4_2022","q4_coded_2022","q4_improvements_2022","q1_2023","q2_2023","q3_2023","q4_2023","q4_coded_2023","q4_improvements_2023","q1_2024","q2_2024","q3_2024","q4_2024","q4_coded_2024","q4_improvements_2024","female","male","nonbinary","a_gender_not_listed","White","Black_or_African_American","Asian","American_Indian_or_Alaska_Native","Native_Hawaiian_or_Other_Pacific_Islander","Hispanic_or_Latino","zip_code","major_city","county","state"
"101","1996","Engineer","0","82.8","-1","The program was decent, but more personalized feedback would have helped me understand better.","Improvement","Feedback","3","28.8","2","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","2","51.1","2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"0","1","0","0","0","0","1","1","0","0","'37867","Shawanee","Claiborne County","TN"
"102","1976","Engineer","1","66.8","2","I liked the overall structure, but I felt it could have gone deeper into certain topics.","Neutral",NA,"0","77.1","0","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","1","7","1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"1","1","0","0","1","0","0","0","0","0","'39342","Marion","Lauderdale County","MS"
"103","1976","Teacher","3","29.5","-1","The program had its ups and downs, but overall, I found it helpful for basic understanding.","Positive",NA,"2","68.9","1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","1","30.2","-2","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","1","0","0","0","1","0","1","1","0","0","'54418","Bryant","Langlade County","WI"
"104","1976","Artist","0","17.1","2","The program was pretty good, but I think it could have been a bit more organized and practical.","Neutral",NA,"0","57.5","1","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","2","52.7","2","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"0","1","1","1","0","0","1","0","0","1","'75491","Whitewright","Grayson County","TX"
"105","1976","Teacher","3","35.2","-2","It was an OK program. Some of the topics could use more detailed explanations, though.","Neutral",NA,"2","27.5","1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","2","42.8","2","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","0","1","0","1","1","1","0","0","0","0","'98950","Vantage","Kittitas County","WA"
"106","1984","Teacher","2","24.2","-1","I liked the program, but it could be better with more real-life examples and practical applications.","Improvement","Content Depth","0","58.1","-2","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"1","59.6","-1","I learned so much from the program. Everything was clear, engaging, and incredibly useful.","Positive",NA,"1","0","1","0","0","0","1","0","0","0","'85936","Saint Johns","Apache County","AZ"
"107","1999","Engineer","3","69.2","-2","The program was decent, but I would have liked more feedback on my progress.","Neutral","Feedback","3","25.9","-1","It was a good program. A more interactive approach would help keep participants engaged longer.","Engagement","Interactivity","0","62.1","0","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"0","1","0","1","0","1","1","0","1","0","'14644","Rochester","Monroe County","NY"
"108","1997","Artist","0","55.4","-1","The program was fine, but I felt like it lacked real-world application. More case studies would be great.","Neutral","Real-World Examples","2","14.3","-1","I enjoyed the program, but I felt some sections were rushed and could use more time for explanation.","Neutral","Pacing","2","65.9","2","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","0","1","1","0","0","0","0","0","'46040","Fortville","Hancock County","IN"
"109","1980","Artist","2","17.1","2","I appreciate the effort, but the program felt too broad and could be more focused on specific needs.","Neutral",NA,"1","86.6","2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"3","61.9","0","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"1","0","1","0","0","0","0","0","1","0","'80944","Colorado Springs","El Paso County","CO"
"110","1984","Teacher","2","60.7","0","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","1","92.7","-2","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","1","24.5","0","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"1","0","0","0","0","1","0","1","0","1","'14616","Rochester","Monroe County","NY"
"111","1995","Manager","1","56.1","0","It’s an average program. I think it could be improved by breaking things into smaller, more digestible parts.","Improvement",NA,"0","17.3","-2","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","3","3.7","0","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"0","0","1","1","0","0","0","0","0","1","'15868","Weedville","Elk County","PA"
"112","1999","Manager","1","62.6","0","It could be more engaging and less lecture-based. Otherwise, it was an OK program.","Engagement",NA,"2","17.8","-1","The program was okay, but I think it would benefit from a clearer focus on the main topics.","Neutral",NA,"1","8.9","2","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","0","1","1","0","1","0","0","1","0","0","'83855","Potlatch","Latah County","ID"
"113","1986","Scientist","2","76","1","It was OK, but I think the program could have been better with more engagement and fewer lectures.","Improvement","Interactivity","1","79.9","2","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","0","54.8","0","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"0","1","0","1","0","0","1","0","1","1","'15285","Pittsburgh","Allegheny County","PA"
"114","1985","Teacher","1","25.4","2","It was good, but I think it could benefit from more group collaboration and problem-solving exercises.","Neutral",NA,"0","75.1","1","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"0","88.1","2","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","0","0","1","0","0","1","1","0","'55429","Minneapolis","Hennepin County","MN"
"115","1996","Scientist","3","70.8","-1","The content was helpful, but I think it could have been better organized with a clearer structure.","Positive","Content Depth","2","88.1","1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","3","41.1","0","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","1","1","0","0","0","0","0","1","1","'95125","San Jose","Santa Clara County","CA"
"116","1992","Teacher","2","13.5","2","The material was OK, but the pace was too fast for me to keep up. More time would have been great.","Neutral","Pacing","0","38","0","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","1","56.3","1","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","1","0","0","0","0","0","1","1","'39190","Washington","Adams County","MS"
"117","1985","Engineer","2","3.7","-1","The content was useful, but I think the program would benefit from more examples and case studies.","Positive","Content Depth","0","57.2","2","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","2","55.4","-2","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"0","1","1","1","0","0","1","0","0","0","'37873","Surgoinsville","Hawkins County","TN"
"118","1992","Teacher","2","29.9","0","The program was fine, but I felt like it lacked real-world application. More case studies would be great.","Neutral","Real-World Examples","2","89","-2","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","1","67.1","2","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","0","0","0","1","0","0","1","0","'12151","Round Lake","Saratoga County","NY"
"119","1976","Artist","2","77.2","0","The program could be more effective with more focus on the participants' learning styles.","Neutral",NA,"0","90.6","2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"1","79.5","1","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"1","1","1","0","0","0","0","0","1","0","'25667","Chattaroy","Mingo County","WV"
"120","1995","Engineer","0","92.8","2","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","2","40.7","2","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","0","0.4","1","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"1","0","0","0","0","0","0","1","0","0","'45030","Harrison","Hamilton County","OH"
"121","1985","Teacher","3","21.7","0","It’s OK, but I think it would be better if the pace was slowed down and more time was given to practice.","Improvement","Pacing","2","29.4","0","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","3","15.7","2","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"1","1","1","0","0","1","0","0","0","0","'79520","Hamlin","Jones County","TX"
"122","1977","Teacher","0","23.8","2","The program wasn’t bad, but it could use more structured materials to help guide participants.","Neutral",NA,"3","87.3","0","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"1","14.9","0","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"0","1","0","0","0","0","0","1","0","1","'82428","Hyattville","Big Horn County","WY"
"123","1993","Artist","2","15.5","-2","The program had its ups and downs, but overall, I found it helpful for basic understanding.","Positive",NA,"1","90.6","1","It was a great program. More personalized feedback would help me understand the material better.","Improvement","Feedback","3","74.6","2","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","0","1","1","0","1","0","0","1","0","'61824","Champaign","Champaign County","IL"
"124","1988","Teacher","0","54.5","0","I liked the program, but I think it could use more focus on problem-solving and hands-on exercises.","Neutral","Interactivity","0","98.8","0","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","3","78.8","2","I had an excellent experience. The program was engaging, informative, and provided everything I needed to succeed.","Engagement",NA,"1","0","0","0","1","0","0","0","1","1","'66754","Mapleton","Bourbon County","KS"
"125","1989","Manager","3","55.7","0","It was an OK program. Some of the topics could use more detailed explanations, though.","Neutral",NA,"1","11","-1","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"0","38.6","-2","It was a truly great program. It was well-organized, informative, and really helped me build my skills.","Neutral",NA,"0","1","0","0","0","0","1","0","0","1","'76904","San Angelo","Tom Green County","TX"
"126","1991","Engineer","3","49.9","1","The program is somewhat helpful, but I think it could be more tailored to individual needs.","Positive",NA,"0","89.4","1","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"0","57.2","-2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","0","0","1","1","1","1","0","0","0","'75372","Dallas","Dallas County","TX"
"127","1981","Teacher","0","44.5","2","I liked the overall structure, but I felt it could have gone deeper into certain topics.","Neutral",NA,"1","34.7","1","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","2","13","-2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"1","0","1","0","0","0","0","1","0","1","'14801","Addison","Steuben County","NY"
"128","1997","Artist","1","86.7","0","It wasn’t exactly what I expected, but it’s OK. More engaging activities would have been helpful.","Positive",NA,"1","93.5","-1","It was a great experience overall. The content was engaging, but a bit more depth on certain topics could be helpful.","Positive","Content Depth","2","46.8","0","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"1","0","0","1","1","0","0","1","0","0","'54017","New Richmond","St. Croix County","WI"
"129","1987","Manager","0","39.6","0","It was fine overall, but I feel it lacked more interactive elements to make it more engaging.","Engagement","Interactivity","0","18.2","2","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","3","3.6","-2","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"0","1","0","0","0","1","0","1","0","0","'47246","Hope","Bartholomew County","IN"
"130","1982","Engineer","1","20.8","0","I liked the program, but I think it could use more focus on problem-solving and hands-on exercises.","Neutral","Interactivity","0","86.4","1","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","3","92.6","2","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","0","1","0","1","1","0","0","0","0","'18439","Lakewood","Wayne County","PA"
"131","1996","Teacher","1","42.8","-1","The program had its ups and downs, but overall, I found it helpful for basic understanding.","Positive",NA,"2","14.5","1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"2","38.8","0","The program was fantastic. I feel it met all my learning needs and was incredibly informative.","Positive",NA,"0","0","1","0","0","1","0","0","0","0","'90631","La Habra","Orange County","CA"
"132","1993","Teacher","0","75.2","-1","I liked the program, but some areas need more in-depth coverage, especially on the more advanced topics.","Neutral","Content Depth","3","99.1","-1","It was a great experience overall. The content was engaging, but a bit more depth on certain topics could be helpful.","Positive","Content Depth","3","94.1","-2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"1","0","1","0","1","0","0","1","0","0","'79845","Presidio","Presidio County","TX"
"133","1977","Engineer","2","21.2","0","It was good, but I think it could benefit from more group collaboration and problem-solving exercises.","Neutral",NA,"2","7.9","1","I found the program to be very informative, but the pace was a bit quick. More time for questions would help.","Neutral","Pacing","3","69.8","1","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"1","1","0","0","1","0","1","0","0","0","'32099","Jacksonville","Duval County","FL"
"134","1993","Engineer","1","6.6","-2","It’s OK, but I feel like I needed more time to fully absorb the content.","Neutral","Content Depth","0","94.5","2","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","1","5.9","0","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"0","1","1","0","0","1","0","0","1","0","'59860","Polson","Lake County","MT"
"135","1982","Scientist","2","2.5","0","The content was helpful, but I think it could have been better organized with a clearer structure.","Positive","Content Depth","1","28.8","-2","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"2","71.4","-2","It was a truly great program. It was well-organized, informative, and really helped me build my skills.","Neutral",NA,"0","0","1","1","0","1","0","0","0","0","'93771","Fresno","Fresno County","CA"
"136","1998","Teacher","2","42.6","-1","It was an OK program. Some of the topics could use more detailed explanations, though.","Neutral",NA,"2","0.6","0","I enjoyed the program, but I felt some sections were rushed and could use more time for explanation.","Neutral","Pacing","3","51.2","2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"0","1","0","0","1","0","0","1","0","0","'56001","Mankato","Blue Earth County","MN"
"137","1979","Manager","0","72.6","0","It’s an OK program. More opportunities for feedback would have been helpful.","Positive","Feedback","3","70.5","0","It was a great program. More personalized feedback would help me understand the material better.","Improvement","Feedback","2","66.6","0","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"1","1","0","1","0","0","1","0","1","0","'51048","Pierson","Woodbury County","IA"
"138","1980","Manager","1","22.7","1","I appreciate the program, but it needs more hands-on activities to really keep participants engaged.","Neutral","Interactivity","0","59","0","I enjoyed the program, but I felt some sections were rushed and could use more time for explanation.","Neutral","Pacing","2","78.5","-2","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","1","0","1","0","1","0","0","0","0","'35540","Addison","Winston County","AL"
"139","1984","Scientist","1","65.4","-2","I felt the program was OK, but there could have been more individual support.","Neutral",NA,"2","74.5","-2","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"2","0.8","-2","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"0","1","0","1","0","0","0","1","1","0","'99138","Inchelium","Ferry County","WA"
"140","1991","Artist","2","52.9","0","I didn't find the program all that helpful, but it wasn’t bad either. Some more detailed examples could have helped.","Positive","Content Depth","1","40.3","0","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","1","80.4","0","I learned so much from the program. Everything was clear, engaging, and incredibly useful.","Positive",NA,"1","0","0","0","1","0","1","0","0","0","'36350","Midland City","Dale County","AL"
"141","1978","Scientist","3","49.4","0","The program was fine, but I expected more personalized support. I think that would make it more effective.","Neutral","Feedback","0","28.3","0","The program was very helpful, and I learned a lot. A few more interactive activities would improve it further.","Positive","Interactivity","1","8.6","-2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"1","1","0","0","0","0","0","0","1","0","'07847","Kenvil","Morris County","NJ"
"142","1978","Engineer","3","7","-1","I feel like the program was somewhat helpful, but it lacked some practical aspects that would have made it more useful.","Positive",NA,"0","32.8","-2","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","0","46","-1","The program was fantastic. I feel it met all my learning needs and was incredibly informative.","Positive",NA,"1","0","0","1","1","0","1","0","0","0","'75782","Poynor","Henderson County","TX"
"143","1982","Engineer","1","28.6","1","The program was fine, but I think more interactive exercises could help with better engagement.","Improvement","Interactivity","0","76.3","1","The program was excellent overall, but a few more hands-on activities would make it even more effective.","Neutral","Interactivity","1","82.7","2","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","0","0","1","0","1","0","0","0","0","'77004","Houston","Harris County","TX"
"144","1987","Manager","0","12.6","-2","It was an OK program. Some of the topics could use more detailed explanations, though.","Neutral",NA,"2","5.3","0","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","3","15.3","1","The program was fantastic. I feel it met all my learning needs and was incredibly informative.","Positive",NA,"0","1","0","0","1","1","0","0","0","0","'89506","Reno","Washoe County","NV"
"145","1989","Artist","3","94.2","0","I feel like the program was OK overall, but it needs more depth in certain areas.","Neutral","Content Depth","3","84.6","0","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","3","11.5","1","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","1","0","0","0","0","0","0","1","0","0","'89420","Luning","Mineral County","NV"
"146","1977","Teacher","2","98.8","-1","The program was fine, but I expected more personalized support. I think that would make it more effective.","Neutral","Feedback","0","67.3","1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","1","39.5","1","I learned so much from the program. Everything was clear, engaging, and incredibly useful.","Positive",NA,"0","1","0","0","0","0","1","1","0","0","'45069","West Chester","Butler County","OH"
"147","1998","Scientist","1","93.3","-1","I’m not sure if I found it helpful, but it wasn’t terrible. I think more real-world application would make it better.","Positive","Real-World Examples","2","45.3","-2","I found the program to be very informative, but the pace was a bit quick. More time for questions would help.","Neutral","Pacing","0","43.3","-1","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"1","0","1","0","0","1","0","1","0","0","'70520","Carencro","Lafayette Parish","LA"
"148","1984","Artist","3","97.7","-2","It’s an OK program, but I would suggest improving the pace and adding more time for questions.","Improvement","Pacing","2","54.9","2","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"3","13.9","0","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"0","0","1","1","1","0","0","0","0","0","'77551","Galveston","Galveston County","TX"
"149","1976","Artist","2","48.6","2","The program is somewhat helpful, but I think it could be more tailored to individual needs.","Positive",NA,"2","39.4","-2","I found the program to be very informative, but the pace was a bit quick. More time for questions would help.","Neutral","Pacing","3","37.9","-1","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"1","1","0","0","1","1","0","0","1","0","'92046","Escondido","San Diego County","CA"
"150","1985","Engineer","3","67.3","-1","I think the program could have been a lot better with more hands-on exercises and fewer lectures.","Improvement","Interactivity","0","5.7","2","The program was okay, but I think it would benefit from a clearer focus on the main topics.","Neutral",NA,"3","21.1","-1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"1","1","0","0","0","1","0","0","1","1","'49921","Dodgeville","Houghton County","MI"
"151","1991","Artist","3","49.6","2","I didn't find the program all that helpful, but it wasn’t bad either. Some more detailed examples could have helped.","Positive","Content Depth","2","95.3","-1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","0","28.5","1","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","0","1","1","0","1","1","0","1","0","0","'72040","Des Arc","Prairie County","AR"
"152","1987","Scientist","1","0.6","-2","It was decent, but I think it would benefit from some improvements in the presentation and materials.","Improvement",NA,"0","7.7","1","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","0","41.7","1","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","1","0","1","0","0","1","0","0","1","'73461","Wapanucka","Johnston County","OK"
"153","1983","Engineer","3","9.5","1","It’s OK, but I feel like I needed more time to fully absorb the content.","Neutral","Content Depth","2","12.4","-1","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","1","86.4","-1","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","0","1","1","1","0","1","0","0","0","'77983","Seadrift","Calhoun County","TX"
"154","1986","Manager","2","54.5","2","I think the program could be improved by making it more interactive and engaging with real-world examples.","Improvement","Interactivity","0","84.7","2","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"0","96.9","0","It was an excellent program. The material was engaging, and I feel confident applying what I’ve learned.","Positive",NA,"1","0","0","0","0","0","0","0","1","0","'90610","Whittier","Los Angeles County","CA"
"155","1989","Scientist","2","21.8","1","The program was pretty good, but I think it could have been a bit more organized and practical.","Neutral",NA,"1","78.3","2","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","1","93.8","0","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","1","0","1","0","1","0","0","0","0","'50151","Lucas","Lucas County","IA"
"156","1997","Artist","3","85.3","-2","I didn’t find the program that helpful. More interactive activities and discussions would have been useful.","Positive","Interactivity","3","92.8","-1","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"2","71.8","2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","0","0","1","0","1","0","0","0","1","'49786","Kincheloe","Chippewa County","MI"
"157","1992","Engineer","3","40.3","1","I feel like the program was OK overall, but it needs more depth in certain areas.","Neutral","Content Depth","1","38.3","2","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","3","63.2","-2","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"1","0","0","1","0","1","0","1","0","0","'64477","Plattsburg","Clinton County","MO"
"158","1993","Scientist","0","69","1","I feel like the program was somewhat helpful, but it lacked some practical aspects that would have made it more useful.","Positive",NA,"3","76.8","-2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"2","95.8","2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"0","1","0","1","0","0","0","0","0","1","'02127","Boston","Suffolk County","MA"
"159","1991","Artist","2","18.7","1","It wasn’t exactly useful for me, but it wasn’t terrible. More personalization would help.","Positive",NA,"3","49.7","2","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","1","34.6","0","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"1","1","0","1","1","0","1","0","0","0","'76706","Waco","McLennan County","TX"
"160","1994","Scientist","3","48.2","-1","The program was OK, but I would have liked more practical demonstrations of the concepts.","Neutral",NA,"1","37.1","-1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"3","95","-2","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"0","1","1","1","0","0","1","1","0","1","'29370","Mountville","Laurens County","SC"
"161","1981","Engineer","2","14.7","-2","The material was OK, but the pace was too fast for me to keep up. More time would have been great.","Neutral","Pacing","0","78.5","0","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","3","69.1","1","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","0","0","1","1","0","0","0","0","0","'04406","Abbot","Piscataquis County","ME"
"162","1996","Artist","3","93.3","-1","The program was pretty good, but I think it could have been a bit more organized and practical.","Neutral",NA,"0","64.3","-1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"0","15.4","1","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","1","1","1","0","0","0","0","1","0","'55399","Young America","Carver County","MN"
"163","1992","Engineer","3","68","2","I wasn’t sure how much I gained from it, but the program was structured OK. Some improvements are needed.","Improvement",NA,"3","0.1","0","It was a good experience, but a few more examples of how the material applies in real-life situations would be helpful.","Positive","Content Depth","3","61.9","0","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"1","0","1","0","1","0","0","0","0","0","'53216","Milwaukee","Milwaukee County","WI"
"164","1993","Teacher","3","45.2","1","It was an average experience. The program could have been more engaging and better organized.","Improvement",NA,"2","16","-2","I thought the program was helpful, but adding more practical exercises would improve the learning experience.","Positive",NA,"1","28","2","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","0","0","0","1","0","0","0","1","0","0","'32406","Panama City","Bay County","FL"
"165","1982","Engineer","2","26.8","1","The content was decent, but it could use more depth. Overall, the program is OK for what it is.","Neutral","Content Depth","2","1.2","-2","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","2","21","-2","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","1","0","0","0","0","0","1","0","0","0","'02451","Waltham","Middlesex County","MA"
"166","1999","Teacher","3","84.7","1","The program could be more effective with more focus on the participants' learning styles.","Neutral",NA,"3","94.2","1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"0","4.7","-2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"1","0","1","1","0","1","0","0","1","0","'86305","Prescott","Yavapai County","AZ"
"167","1994","Teacher","2","13.2","0","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","3","66","0","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","2","8.4","-1","The program was fantastic. I learned a lot, and I think it covered everything I hoped for and more.","Positive",NA,"0","0","1","1","0","0","0","0","1","0","'16660","Mc Connellstown","Huntingdon County","PA"
"168","1992","Manager","2","14.5","0","It was OK, but I feel like the pace was too fast. More time for each topic would be beneficial.","Positive","Pacing","1","62","0","It was a great program. More personalized feedback would help me understand the material better.","Improvement","Feedback","2","86.8","2","I had an incredible experience with the program. The content was clear, engaging, and well-paced.","Engagement","Content Depth","1","0","0","1","0","1","0","0","0","0","'97470","Roseburg","Douglas County","OR"
"169","1987","Teacher","0","60","1","I liked the program, but I think it could use more focus on problem-solving and hands-on exercises.","Neutral","Interactivity","0","94","1","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","1","50.6","-2","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","0","1","0","0","0","1","0","0","0","'08039","Harrisonville","Gloucester County","NJ"
"170","1986","Artist","2","82.5","0","It’s an OK program, but I think the content could be more tailored to different learning styles.","Neutral","Content Depth","2","90.3","1","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","1","36.8","-1","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","1","0","0","1","0","0","0","0","0","'03047","Greenfield","Hillsborough County","NH"
"171","1984","Manager","0","18.7","1","It wasn’t exactly useful for me, but it wasn’t terrible. More personalization would help.","Positive",NA,"0","95.6","2","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"2","95.1","-1","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"1","0","0","0","0","0","1","0","0","0","'68443","Sterling","Johnson County","NE"
